year,variable,mean,std,min,q1,median,q3,max
1980,VAR_10U,-0.06263820081949234,5.48573112487793,-36.2366943359375,-3.873748779296875,-0.339141845703125,3.204681396484375,32.669525146484375
1981,VAR_10U,-0.0489545539021492,5.50197172164917,-36.63055419921875,-3.8967437744140625,-0.3546142578125,3.23876953125,32.90516662597656
1982,VAR_10U,-0.02564236707985401,5.515708923339844,-36.28578186035156,-3.8622894287109375,-0.335205078125,3.2138824462890625,33.05047607421875
1983,VAR_10U,0.007326209917664528,5.539030075073242,-40.467620849609375,-3.8355865478515625,-0.312744140625,3.282135009765625,41.1165771484375
1984,VAR_10U,-0.07129097729921341,5.474769115447998,-53.43080139160156,-3.889251708984375,-0.364990234375,3.1946563720703125,33.42301940917969
1985,VAR_10U,-0.09898450970649719,5.524930477142334,-40.22334289550781,-3.9504241943359375,-0.4080352783203125,3.1334381103515625,33.08056640625
1986,VAR_10U,-0.0020072755869477987,5.5107102394104,-44.37841796875,-3.8392486572265625,-0.294464111328125,3.27508544921875,37.7747802734375
1987,VAR_10U,-0.0641573816537857,5.525838375091553,-90.70852661132812,-3.8850860595703125,-0.383544921875,3.165252685546875,37.33979797363281
1988,VAR_10U,-0.05460171774029732,5.516332149505615,-39.181304931640625,-3.9222412109375,-0.3287811279296875,3.259735107421875,32.27214050292969
1989,VAR_10U,0.029266024008393288,5.55402946472168,-80.64878845214844,-3.8523101806640625,-0.2591094970703125,3.3345489501953125,32.71235656738281
1990,VAR_10U,-0.02928512915968895,5.577003002166748,-36.348297119140625,-3.93829345703125,-0.32464599609375,3.317535400390625,56.47509765625
1991,VAR_10U,0.02015545591711998,5.501216888427734,-36.63043212890625,-3.8096160888671875,-0.27288818359375,3.315704345703125,38.07281494140625
1992,VAR_10U,0.05672602728009224,5.460004806518555,-45.5216064453125,-3.7238311767578125,-0.22772216796875,3.3287353515625,33.179168701171875
1993,VAR_10U,0.04641596972942352,5.529455661773682,-38.542938232421875,-3.7960357666015625,-0.3046112060546875,3.2943878173828125,79.00747680664062
1994,VAR_10U,0.04022284969687462,5.521978855133057,-76.37680053710938,-3.8011932373046875,-0.271575927734375,3.326141357421875,33.67686462402344
1995,VAR_10U,-0.060294680297374725,5.509974956512451,-38.43389892578125,-3.9215087890625,-0.366485595703125,3.199066162109375,34.93479919433594
1996,VAR_10U,-0.06720181554555893,5.524053573608398,-36.71644592285156,-3.93450927734375,-0.3551788330078125,3.25244140625,33.77409362792969
1997,VAR_10U,0.03344108909368515,5.546135425567627,-39.92582702636719,-3.81365966796875,-0.2713775634765625,3.343536376953125,45.15899658203125
1998,VAR_10U,-0.04604420065879822,5.651586055755615,-38.96516418457031,-4.0186614990234375,-0.3852081298828125,3.297821044921875,39.49430847167969
1999,VAR_10U,-0.06993243098258972,5.597456932067871,-41.210784912109375,-4.01605224609375,-0.3972930908203125,3.255126953125,31.534072875976562
2000,VAR_10U,-0.10323870182037354,5.5635199546813965,-39.75621032714844,-4.0306549072265625,-0.40313720703125,3.217315673828125,38.005523681640625
2001,VAR_10U,-0.06780117750167847,5.571083068847656,-36.733123779296875,-3.9758758544921875,-0.3661956787109375,3.2647552490234375,33.00004577636719
2002,VAR_10U,-0.08400683850049973,5.513195991516113,-36.96488952636719,-3.9548492431640625,-0.331207275390625,3.2389678955078125,30.809097290039062
2003,VAR_10U,-0.08105320483446121,5.523325443267822,-43.91590881347656,-3.9436492919921875,-0.357025146484375,3.2295684814453125,34.96556091308594
2004,VAR_10U,-0.09207690507173538,5.5464372634887695,-36.88276672363281,-3.9791107177734375,-0.3936614990234375,3.2035675048828125,34.5640869140625
2005,VAR_10U,-0.08330115675926208,5.5231404304504395,-41.50666809082031,-3.951873779296875,-0.36993408203125,3.2265625,35.707550048828125
2006,VAR_10U,-0.06708419322967529,5.560502052307129,-40.15342712402344,-3.9577789306640625,-0.3602294921875,3.2472381591796875,31.602584838867188
2007,VAR_10U,-0.15711836516857147,5.606901168823242,-38.028564453125,-4.1011505126953125,-0.4174957275390625,3.181365966796875,32.10215759277344
2008,VAR_10U,-0.09233833849430084,5.593823432922363,-39.13714599609375,-4.0481719970703125,-0.394012451171875,3.25103759765625,33.21208190917969
2009,VAR_10U,-0.11391080170869827,5.521883010864258,-36.44157409667969,-3.9669342041015625,-0.3999786376953125,3.176910400390625,41.53462219238281
2010,VAR_10U,-0.13131581246852875,5.6401472091674805,-46.70738220214844,-4.0911865234375,-0.447662353515625,3.193817138671875,44.7623291015625
2011,VAR_10U,-0.14192317426204681,5.601231575012207,-37.33006286621094,-4.1066741943359375,-0.4149169921875,3.1912078857421875,35.610565185546875
2012,VAR_10U,-0.0763346403837204,5.571319103240967,-40.693023681640625,-3.9721221923828125,-0.3697052001953125,3.23052978515625,32.928436279296875
2013,VAR_10U,-0.09762634336948395,5.5839338302612305,-37.527130126953125,-3.9995880126953125,-0.3775634765625,3.2316131591796875,33.74159240722656
2014,VAR_10U,-0.0393223874270916,5.578141212463379,-120.64729309082031,-3.9199981689453125,-0.3451690673828125,3.257080078125,61.16130065917969
