year,variable,mean,std,min,q1,median,q3,max
1980,VAR_10U,-0.06263867020606995,0.24930770695209503,-0.8885659575462341,-0.23857474699616432,-0.06655842065811157,0.10574849136173725,0.6874393820762634
1981,VAR_10U,-0.04895481467247009,0.2937157452106476,-1.0320160388946533,-0.22376252710819244,-0.020333733409643173,0.13268188387155533,0.7181714773178101
1982,VAR_10U,-0.02564247138798237,0.27695000171661377,-0.7559864521026611,-0.21128741651773453,-0.016801010817289352,0.15795280784368515,0.7738929390907288
1983,VAR_10U,0.007325964048504829,0.25447413325309753,-0.963797926902771,-0.1458924077451229,0.028277408331632614,0.17263515666127205,0.7851707935333252
1984,VAR_10U,-0.07129091769456863,0.24514609575271606,-0.80506831407547,-0.2393176555633545,-0.08514907956123352,0.10787565261125565,0.5951257348060608
1985,VAR_10U,-0.09898413717746735,0.271521657705307,-0.8406935930252075,-0.3082532584667206,-0.12379299104213715,0.10707393661141396,0.8246976733207703
1986,VAR_10U,-0.002007722156122327,0.3072325587272644,-0.727562665939331,-0.24930571392178535,0.013667651452124119,0.2166115865111351,0.8790289163589478
1987,VAR_10U,-0.06415795534849167,0.28755834698677063,-0.8655199408531189,-0.2641774043440819,-0.07159478962421417,0.134562436491251,0.7743862867355347
1988,VAR_10U,-0.054600849747657776,0.24164831638336182,-0.8231229186058044,-0.2118661068379879,-0.04483197629451752,0.10432921722531319,0.5816814303398132
1989,VAR_10U,0.02926640957593918,0.286489874124527,-0.6648953557014465,-0.15724829211831093,0.04117804765701294,0.20740892365574837,0.9778383374214172
1990,VAR_10U,-0.029285196214914322,0.2611576318740845,-0.7104892730712891,-0.2087048403918743,-0.02649662271142006,0.13606222718954086,0.8542219996452332
1991,VAR_10U,0.02015535533428192,0.2668628990650177,-0.7496604919433594,-0.16212663054466248,0.04766884073615074,0.2028687484562397,0.7677444815635681
1992,VAR_10U,0.056726206094026566,0.27009737491607666,-0.7320981025695801,-0.1264296993613243,0.06498707830905914,0.22872431203722954,0.7407278418540955
1993,VAR_10U,0.04641559720039368,0.273094117641449,-0.7068174481391907,-0.15758834406733513,0.05071191489696503,0.24419918656349182,0.865885853767395
1994,VAR_10U,0.040222909301519394,0.3019537627696991,-0.69022536277771,-0.16472093015909195,0.04119397699832916,0.2540087103843689,0.8135369420051575
1995,VAR_10U,-0.06029391288757324,0.2635086476802826,-0.7324196696281433,-0.2334514893591404,-0.06041012704372406,0.10553744249045849,0.6801236867904663
1996,VAR_10U,-0.06720220297574997,0.2789978086948395,-0.8250823616981506,-0.27046117931604385,-0.04912123084068298,0.15086555108428001,0.6285897493362427
1997,VAR_10U,0.03344028815627098,0.2798691391944885,-0.7612874507904053,-0.15606919676065445,0.04360218718647957,0.2253732681274414,0.8092462420463562
1998,VAR_10U,-0.0460439957678318,0.2190200388431549,-0.6272682547569275,-0.1978357695043087,-0.05793467164039612,0.1168214026838541,0.48326990008354187
1999,VAR_10U,-0.06993261724710464,0.24234610795974731,-0.6654489040374756,-0.24488918110728264,-0.06429020315408707,0.09359746240079403,0.6710264682769775
2000,VAR_10U,-0.10323861986398697,0.23039400577545166,-0.8062297701835632,-0.27649178355932236,-0.07988211512565613,0.07413698546588421,0.40740811824798584
2001,VAR_10U,-0.06780051440000534,0.23822228610515594,-0.7606497406959534,-0.22477834299206734,-0.06813198328018188,0.0854341872036457,0.705085277557373
2002,VAR_10U,-0.08400651067495346,0.25553879141807556,-0.914003312587738,-0.26061850786209106,-0.07794767618179321,0.09328865632414818,0.6086317896842957
2003,VAR_10U,-0.08105269819498062,0.27003178000450134,-0.7904068827629089,-0.2552812099456787,-0.08322566747665405,0.09243038482964039,0.8630335330963135
2004,VAR_10U,-0.09207630902528763,0.2637621760368347,-0.8096976280212402,-0.2659553289413452,-0.06782089173793793,0.08365887776017189,0.6199476718902588
2005,VAR_10U,-0.08330155909061432,0.2605589032173157,-0.6663545966148376,-0.29200343787670135,-0.09558562189340591,0.10611952468752861,0.6194283366203308
2006,VAR_10U,-0.06708395481109619,0.24126183986663818,-0.7226099967956543,-0.23661861568689346,-0.06823460757732391,0.09885939210653305,0.675292432308197
2007,VAR_10U,-0.15711984038352966,0.2682493031024933,-0.9293224811553955,-0.33070362359285355,-0.12963205575942993,0.011994197964668274,0.6196702122688293
2008,VAR_10U,-0.0923391580581665,0.2491275817155838,-0.9059054851531982,-0.2354573756456375,-0.07460348308086395,0.08221960254013538,0.5849804878234863
2009,VAR_10U,-0.11391064524650574,0.22523640096187592,-0.8620705604553223,-0.27343229949474335,-0.1318928301334381,0.035889738239347935,0.7183937430381775
2010,VAR_10U,-0.131316140294075,0.274715393781662,-1.008583426475525,-0.34251922369003296,-0.12073355913162231,0.06844234839081764,0.5398479104042053
2011,VAR_10U,-0.14192363619804382,0.24476930499076843,-0.8946909308433533,-0.30396801978349686,-0.15367132425308228,0.026128686498850584,0.5836946368217468
2012,VAR_10U,-0.07633502036333084,0.2531381845474243,-0.8000310659408569,-0.2651190459728241,-0.08387082815170288,0.11391489766538143,0.5921605229377747
2013,VAR_10U,-0.09762679040431976,0.21680830419063568,-0.7178340554237366,-0.254166878759861,-0.10724085569381714,0.05850611533969641,0.4869896471500397
2014,VAR_10U,-0.03932205215096474,0.21978998184204102,-0.6011524796485901,-0.19467902183532715,-0.03611450642347336,0.12328127585351467,0.569156289100647
